"sampleID","Sentrix_ID","Sentrix_Position","geoAcc","diseaseState","age","gender","smokingStatus","CellType","AnalysisGroup","barcode","Predicted Male Probability","Predicted Gender"
"CD14+ 043",5727920033,"R01C02",NA,NA,NA,NA,NA,"CD14+ Monocytes","wb_case_ctrl","5727920033_R01C02",0.999968971214863,"male"
"CD14+ 160",5727920033,"R02C02",NA,NA,NA,NA,NA,"CD14+ Monocytes","wb_case_ctrl","5727920033_R02C02",0.999989999841542,"male"
"CD14+ 149",5727920033,"R03C02",NA,NA,NA,NA,NA,"CD14+ Monocytes","wb_case_ctrl","5727920033_R03C02",0.999997455211717,"male"
"CD56+ 105",5684819004,"R04C02",NA,NA,NA,NA,NA,"CD56+ NK-cells","wb_case_ctrl","5684819004_R04C02",0.999978817104791,"male"
"CD56+ 218",5684819004,"R05C02",NA,NA,NA,NA,NA,"CD56+ NK-cells","wb_case_ctrl","5684819004_R05C02",0.999987584490906,"male"
"CD56+ 261",5684819004,"R06C02",NA,NA,NA,NA,NA,"CD56+ NK-cells","wb_case_ctrl","5684819004_R06C02",0.999989954775842,"male"
"CD56+ 043",5727920033,"R04C02",NA,NA,NA,NA,NA,"CD56+ NK-cells","wb_case_ctrl","5727920033_R04C02",0.999998247945881,"male"
"CD56+ 160",5727920033,"R05C02",NA,NA,NA,NA,NA,"CD56+ NK-cells","wb_case_ctrl","5727920033_R05C02",0.999998526948594,"male"
"CD56+ 149",5727920033,"R06C02",NA,NA,NA,NA,NA,"CD56+ NK-cells","wb_case_ctrl","5727920033_R06C02",0.999999504999069,"male"
"Neu 105",5727920038,"R01C01",NA,NA,NA,NA,NA,"Neutrophils","wb_case_ctrl","5727920038_R01C01",0.999964369100019,"male"
"Neu 218",5727920038,"R02C01",NA,NA,NA,NA,NA,"Neutrophils","wb_case_ctrl","5727920038_R02C01",0.999989692696706,"male"
"Neu 261",5727920038,"R03C01",NA,NA,NA,NA,NA,"Neutrophils","wb_case_ctrl","5727920038_R03C01",0.999994525026482,"male"
"Neu 043",5727920038,"R04C01",NA,NA,NA,NA,NA,"Neutrophils","wb_case_ctrl","5727920038_R04C01",0.999998150780605,"male"
"Neu 160",5727920038,"R05C01",NA,NA,NA,NA,NA,"Neutrophils","wb_case_ctrl","5727920038_R05C01",0.988608238348971,"male"
"Neu 149",5727920038,"R06C01",NA,NA,NA,NA,NA,"Neutrophils","wb_case_ctrl","5727920038_R06C01",0.999999037614274,"male"
"Eos 105",5727920038,"R01C02",NA,NA,NA,NA,NA,"Eosinophils","wb_case_ctrl","5727920038_R01C02",0.999953725224394,"male"
"Eos 218",5727920038,"R02C02",NA,NA,NA,NA,NA,"Eosinophils","wb_case_ctrl","5727920038_R02C02",0.999975686636764,"male"
"Eos 261",5727920038,"R03C02",NA,NA,NA,NA,NA,"Eosinophils","wb_case_ctrl","5727920038_R03C02",0.999984569175278,"male"
"Eos 043",5727920038,"R04C02",NA,NA,NA,NA,NA,"Eosinophils","wb_case_ctrl","5727920038_R04C02",0.99999756420573,"male"
"Eos 160",5727920038,"R05C02",NA,NA,NA,NA,NA,"Eosinophils","wb_case_ctrl","5727920038_R05C02",0.99999520532579,"male"
"Eos 149",5727920038,"R06C02",NA,NA,NA,NA,NA,"Eosinophils","wb_case_ctrl","5727920038_R06C02",0.999997722075494,"male"
